-10.93	-0.077532	0	-11.22	0.13717	0	-11.115	-0.1376	0	-10.883	0.19328	0
-10.49	-0.037003	0	-10.708	0.20309	0	-10.655	-0.064527	0	-10.36	0.18811	0
-10.049	-0.11656	0	-10.21	0.1823	0	-10.194	-0.1027	0	-9.9584	0.14583	0
-9.5856	-0.11306	0	-9.7863	0.13937	0	-9.7541	-0.097161	0	-9.5261	0.13199	0
-9.1589	-0.14893	0	-9.3743	0.14475	0	-9.2901	-0.15758	0	-9.1348	0.092793	0
-8.6765	-0.077532	0	-8.9666	0.13717	0	-8.862	-0.1376	0	-8.6296	0.19328	0
-8.237	-0.037003	0	-8.4554	0.20309	0	-8.4021	-0.064527	0	-8.1066	0.18811	0
-7.7959	-0.11656	0	-7.9574	0.1823	0	-7.9406	-0.1027	0	-7.7054	0.14583	0
-7.3326	-0.11306	0	-7.5333	0.13937	0	-7.5011	-0.097161	0	-7.2731	0.13199	0
-6.9059	-0.14893	0	-7.1213	0.14475	0	-7.0371	-0.15758	0	-6.8818	0.092793	0
-6.4235	-0.077532	0	-6.7136	0.13717	0	-6.609	-0.1376	0	-6.3766	0.19328	0
-5.984	-0.037003	0	-6.2024	0.20309	0	-6.1491	-0.064527	0	-5.8536	0.18811	0
-5.5429	-0.11656	0	-5.7044	0.1823	0	-5.6876	-0.1027	0	-5.4524	0.14583	0
-5.0796	-0.11306	0	-5.2803	0.13937	0	-5.2481	-0.097161	0	-5.0201	0.13199	0
-4.6529	-0.14893	0	-4.8683	0.14475	0	-4.7841	-0.15758	0	-4.6288	0.092793	0
-4.1705	-0.077532	0	-4.4606	0.13717	0	-4.356	-0.1376	0	-4.1236	0.19328	0
-3.731	-0.037003	0	-3.9494	0.20309	0	-3.8961	-0.064527	0	-3.6006	0.18811	0
-3.2899	-0.11656	0	-3.4514	0.1823	0	-3.4346	-0.1027	0	-3.1994	0.14583	0
-2.8266	-0.11306	0	-3.0273	0.13937	0	-2.9951	-0.097161	0	-2.7671	0.13199	0
-2.3999	-0.14893	0	-2.6153	0.14475	0	-2.5311	-0.15758	0	-2.3758	0.092793	0
-1.9175	-0.077532	0	-2.2076	0.13717	0	-2.103	-0.1376	0	-1.8706	0.19328	0
-1.478	-0.037003	0	-1.6964	0.20309	0	-1.6431	-0.064527	0	-1.3476	0.18811	0
-1.0369	-0.11656	0	-1.1984	0.1823	0	-1.1816	-0.1027	0	-0.94641	0.14583	0
-0.57365	-0.11306	0	-0.77429	0.13937	0	-0.74211	-0.097161	0	-0.51406	0.13199	0
-0.14691	-0.14893	0	-0.36226	0.14475	0	-0.27809	-0.15758	0	-0.12276	0.092793	0
0.3355	-0.077532	0	0.0454	0.13717	0	0.15	-0.1376	0	0.3824	0.19328	0
0.775	-0.037003	0	0.5566	0.20309	0	0.6099	-0.064527	0	0.9054	0.18811	0
1.2161	-0.11656	0	1.0546	0.1823	0	1.0714	-0.1027	0	1.3066	0.14583	0
1.6794	-0.11306	0	1.4787	0.13937	0	1.5109	-0.097161	0	1.7389	0.13199	0
2.1061	-0.14893	0	1.8907	0.14475	0	1.9749	-0.15758	0	2.1302	0.092793	0
2.5885	-0.077532	0	2.2984	0.13717	0	2.403	-0.1376	0	2.6354	0.19328	0
3.028	-0.037003	0	2.8096	0.20309	0	2.8629	-0.064527	0	3.1584	0.18811	0
3.4691	-0.11656	0	3.3076	0.1823	0	3.3244	-0.1027	0	3.5596	0.14583	0
3.9324	-0.11306	0	3.7317	0.13937	0	3.7639	-0.097161	0	3.9919	0.13199	0
4.3591	-0.14893	0	4.1437	0.14475	0	4.2279	-0.15758	0	4.3832	0.092793	0
4.8415	-0.077532	0	4.5514	0.13717	0	4.656	-0.1376	0	4.8884	0.19328	0
5.281	-0.037003	0	5.0626	0.20309	0	5.1159	-0.064527	0	5.4114	0.18811	0
5.7221	-0.11656	0	5.5606	0.1823	0	5.5774	-0.1027	0	5.8126	0.14583	0
6.1854	-0.11306	0	5.9847	0.13937	0	6.0169	-0.097161	0	6.2449	0.13199	0
6.6121	-0.14893	0	6.3967	0.14475	0	6.4809	-0.15758	0	6.6362	0.092793	0
7.0945	-0.077532	0	6.8044	0.13717	0	6.909	-0.1376	0	7.1414	0.19328	0
7.534	-0.037003	0	7.3156	0.20309	0	7.3689	-0.064527	0	7.6644	0.18811	0
7.9751	-0.11656	0	7.8136	0.1823	0	7.8304	-0.1027	0	8.0656	0.14583	0
8.4384	-0.11306	0	8.2377	0.13937	0	8.2699	-0.097161	0	8.4979	0.13199	0
8.8651	-0.14893	0	8.6497	0.14475	0	8.7339	-0.15758	0	8.8892	0.092793	0
9.3475	-0.077532	0	9.0574	0.13717	0	9.162	-0.1376	0	9.3944	0.19328	0
9.787	-0.037003	0	9.5686	0.20309	0	9.6219	-0.064527	0	9.9174	0.18811	0
10.228	-0.11656	0	10.067	0.1823	0	10.083	-0.1027	0	10.319	0.14583	0
10.691	-0.11306	0	10.491	0.13937	0	10.523	-0.097161	0	10.751	0.13199	0
11.118	-0.14893	0	10.903	0.14475	0	10.987	-0.15758	0	11.142	0.092793	0
11.601	-0.077532	0	11.31	0.13717	0	11.415	-0.1376	0	11.647	0.19328	0
12.04	-0.037003	0	11.822	0.20309	0	11.875	-0.064527	0	12.17	0.18811	0
12.481	-0.11656	0	12.32	0.1823	0	12.336	-0.1027	0	12.572	0.14583	0
12.944	-0.11306	0	12.744	0.13937	0	12.776	-0.097161	0	13.004	0.13199	0
13.371	-0.14893	0	13.156	0.14475	0	13.24	-0.15758	0	13.395	0.092793	0
