0.004	           0   1.0033e-05   1.0033e-05  1.25413e-05  1.50495e-05  1.50495e-05  -1.0033e-05  -1.0033e-05 -9.86246e-06 -5.27235e-06 -1.86112e-06     0.571926     0.427873     0.491468    -0.671035     -0.43563   -0.0351548      1.03855     0.586277   0.00206852   -0.0479973  -0.00626389    -0.682493   0.00708735    0.0479543     0.022102     0.682479	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	           0 -0.000397334 -0.000397334 -0.000496668 -0.000596001 -0.000596001  0.000397334  0.000397334   0.00039058  0.000208799  7.37055e-05    -0.274474    -0.274474    -0.274474     0.274474     0.274474     0.274474    -0.274474    -0.274474   -0.0819188     0.274474     0.248067     0.274474    -0.274474    -0.274474    -0.274474    -0.274474
0.008	           0   3.0059e-05   3.0059e-05  3.75737e-05  4.50885e-05  4.50885e-05  -3.0059e-05  -3.0059e-05  -2.9548e-05  -1.5796e-05 -5.57594e-06     0.747085     0.436054     0.287711    -0.797745    -0.437336   -0.0341504      1.03641     0.586277   0.00760804    0.0990783   -0.0111215     -1.43197   0.00923515    -0.099121    0.0155385      1.43194	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	          0 -0.00117877 -0.00117877 -0.00147346 -0.00176816 -0.00176816  0.00117877  0.00117877  0.00115873 0.000619444 0.000218662   -0.538186   -0.538186   0.0107623    0.538186    0.502105     0.23772   -0.538186   -0.493594   -0.298898  -0.0107623    0.433171    0.538186   -0.351549   0.0107623  -0.0124447   -0.538186
0.012	           0  6.00381e-05  6.00381e-05  7.50476e-05  9.00571e-05  9.00571e-05 -6.00381e-05 -6.00381e-05 -5.90174e-05   -3.155e-05 -1.11371e-05     0.765416     0.379904     0.220078    -0.797745    -0.437917   -0.0338068      1.03568     0.586277    0.0138821     0.299048   -0.0157214     -1.92603   0.00212954    -0.299275    0.0044254      1.92608	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	          0 -0.00233159 -0.00233159 -0.00291448 -0.00349738 -0.00349738  0.00233159  0.00233159  0.00229195  0.00122525 0.000432509   -0.791557   -0.242609    0.284814    0.791557    0.676905    0.228182   -0.791557   -0.704123    -0.53863   -0.284814    0.602715    0.791557  -0.0632908    0.284814    0.262517   -0.791557
0.016	           0  9.99304e-05  9.99304e-05  0.000124913  0.000149896  0.000149896 -9.99304e-05 -9.99304e-05 -9.82316e-05 -5.25134e-05 -1.85371e-05     0.771013     0.356671     0.193654    -0.797745    -0.438115   -0.0336897      1.03543     0.586277    0.0176441     0.298992   -0.0200211     -1.92603  -0.00679089    -0.299313  -0.00577029      1.92608	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	          0 -0.00384355 -0.00384355 -0.00480444 -0.00576533 -0.00576533  0.00384355  0.00384355  0.00377821  0.00201979 0.000712979    -1.03499   0.0413777     0.54812     1.03499      0.8299    0.227853    -1.03499   -0.906396   -0.671939   -0.388667    0.755527     1.03499    0.213665    0.392488    0.526698    -1.03499
0.02	           0  0.000149697  0.000149697  0.000187121  0.000224545  0.000224545 -0.000149697 -0.000149697 -0.000147152 -7.86656e-05 -2.77687e-05     0.768162      0.34645     0.184956    -0.798612    -0.438182   -0.0336499      1.03534     0.586277    0.0211363     0.298925   -0.0240125     -1.92603   -0.0148928    -0.299268   -0.0150307      1.92608	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	          0  -0.0057029  -0.0057029 -0.00712862 -0.00855435 -0.00855435   0.0057029   0.0057029  0.00560595  0.00299687  0.00105789    -1.18385    0.304661    0.795146     1.26888     0.97181     0.23055    -1.26888    -1.10074    -0.79081   -0.488017    0.891824     1.26888    0.479761    0.492691    0.780519    -1.26888
0.024	           0  0.000209297  0.000209297  0.000261621  0.000313946  0.000313946 -0.000209297 -0.000209297 -0.000205739 -0.000109986 -3.88246e-05     0.768809       0.3432     0.181354    -0.798612    -0.438205   -0.0336363      1.03531     0.586277    0.0243779     0.298851   -0.0277177     -1.92603   -0.0222499    -0.299163   -0.0234402      1.92608	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	          0 -0.00789832 -0.00789832  -0.0098729  -0.0118475  -0.0118475  0.00789832  0.00789832  0.00776405  0.00415057  0.00146514     -1.4119    0.285603    0.834093      1.4936     1.10642    0.234167     -1.4936    -1.28746   -0.896466   -0.583145       1.013      1.4936    0.735423    0.586532     1.02439     -1.4936
0.028	           0  0.000278693  0.000278693  0.000348366  0.000418039  0.000418039 -0.000278693 -0.000278693 -0.000273955 -0.000146453 -5.16975e-05     0.769051     0.341956     0.179979    -0.798612    -0.438213   -0.0336317       1.0353     0.586277    0.0274337      0.29877   -0.0312105     -1.92603   -0.0313047    -0.301174   -0.0290946      1.92968	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0104189 -0.0104189 -0.0130237 -0.0156284 -0.0156284  0.0104189  0.0104189  0.0102418 0.00547515 0.00193271   -1.63102   0.189099   0.784735    1.70951    1.23517   0.237991   -1.70951   -1.46686  -0.991893  -0.674254    1.12248    1.70951   0.981061   0.760502    1.21734   -1.70951
0.032	           0  0.000357844  0.000357844  0.000447305  0.000536766  0.000536766 -0.000357844 -0.000357844 -0.000351761 -0.000188047 -6.63801e-05     0.769143     0.341481     0.179454    -0.798612    -0.438216   -0.0336301       1.0353     0.586277    0.0302699     0.298685   -0.0344525     -1.92603   -0.0373977    -0.301005   -0.0360548      1.92968	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0132543 -0.0132543 -0.0165679 -0.0198814 -0.0198814  0.0132543  0.0132543   0.013029 0.00696513 0.00245867   -1.84154  0.0664161   0.704172    1.91696    1.35867   0.241785   -1.91696   -1.63923   -1.07608  -0.761614    1.21909    1.91696    1.19617   0.842068    1.44409   -1.91696
0.036	           0  0.000446713  0.000446713  0.000558391  0.000670069  0.000670069 -0.000446713 -0.000446713 -0.000439118 -0.000234747 -8.28652e-05     0.769178     0.341299     0.179254    -0.798612    -0.438216   -0.0336296       1.0353     0.586277    0.0329023     0.298598   -0.0374614     -1.92603   -0.0429299    -0.300814   -0.0423748      1.92968	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0163943 -0.0163943 -0.0204929 -0.0245915 -0.0245915  0.0163943  0.0163943  0.0161156 0.00861522 0.00304115    -2.0438 -0.0629051   0.614122    2.11627    1.47726   0.245469   -2.11627   -1.80484      -1.15  -0.845433    1.30396    2.11627    1.38302   0.919528    1.65189   -2.11627
0.04	           0  0.000545259  0.000545259  0.000681574  0.000817889  0.000817889 -0.000545259 -0.000545259  -0.00053599 -0.000286534 -0.000101146     0.769191      0.34123     0.179178    -0.798612    -0.438217   -0.0336294       1.0353     0.586277    0.0353453     0.298511   -0.0402541     -1.92603   -0.0516335     -0.30202   -0.0449788      1.93182	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0198294 -0.0198294 -0.0247867  -0.029744  -0.029744  0.0198294  0.0198294  0.0194923  0.0104203 0.00367835   -2.23814  -0.191525   0.522779    2.30776    1.59117   0.249024   -2.30776   -1.96395   -1.21456  -0.925899    1.37812    2.30776    1.60326    1.04916    1.70686   -2.30776
