-0.60696	-0.675495	-0.123014	0.542574	0.709331	-0.223925	-0.467362	-0.728957	-0.320351	0.382792	0.733977	0.608729	1.98754	0.844598	-0.380008	0.608729	-1.06181	-0.35272	0.569224	-0.0685703	0.841315	0.587646	2.83591	-0.0685703	-1.58449	0.145117	-0.395756	
-0.650834	-0.7245	-0.132096	0.581766	0.760763	-0.240312	-0.501088	-0.781787	-0.343714	0.410376	0.787147	0.652661	2.13144	1.52972	-0.407559	0.652661	-1.13861	-1.00199	0.610309	-0.0735614	0.902097	0.630246	3.04168	-0.0735614	-1.69934	0.155649	-0.424502	
-0.694921	-0.773772	-0.141253	0.621143	0.812473	-0.256811	-0.534969	-0.834897	-0.367225	0.43808	0.840595	0.696796	2.27608	2.13528	-0.435257	0.696796	-1.2158	-1.57149	0.651584	-0.0785825	0.963171	0.673074	3.24857	-0.0785825	-1.8148	0.16624	-0.45341	
-0.739192	-0.823273	-0.150474	0.660681	0.864419	-0.273406	-0.568983	-0.888247	-0.390861	0.465888	0.894282	0.741105	2.42135	2.67577	-0.463081	0.741105	-1.29331	-2.07572	0.693023	-0.0836292	1.02449	0.716097	3.45643	-0.0836292	-1.93079	0.17688	-0.482458	
-0.783623	-0.872973	-0.159748	0.700358	0.91657	-0.290082	-0.603113	-0.941804	-0.414606	0.493786	0.948174	0.785566	2.56717	3.16303	-0.491015	0.785566	-1.37111	-2.52655	0.734605	-0.0886978	1.08604	0.759288	3.66513	-0.0886978	-2.04723	0.187564	-0.511626	
-0.828154	-0.922869	-0.169134	0.740111	0.968915	-0.306892	-0.637294	-0.995549	-0.438503	0.521708	1.00224	0.830095	2.71343	3.60675	-0.51905	0.830095	-1.44911	-2.93362	0.776252	-0.0937945	1.1477	0.802636	3.87467	-0.0937945	-2.16408	0.198292	-0.540927	
-0.872778	-0.972937	-0.178614	0.779935	1.02143	-0.323814	-0.671522	-1.04946	-0.462529	0.549653	1.05647	0.874688	2.86008	4.01487	-0.547175	0.874688	-1.52729	-3.30491	0.817961	-0.098915	1.20948	0.846119	4.08494	-0.098915	-2.2813	0.209059	-0.570341	
-0.917485	-1.02315	-0.188171	0.819824	1.07409	-0.340832	-0.705796	-1.10351	-0.486667	0.577623	1.11083	0.919342	3.00708	4.3939	-0.575377	0.919342	-1.60563	-3.64693	0.85973	-0.104056	1.27137	0.889723	4.29585	-0.104056	-2.39884	0.219859	-0.599856	
-0.96227	-1.0735	-0.197795	0.859775	1.12689	-0.357932	-0.740114	-1.1577	-0.5109	0.605619	1.16532	0.964055	3.1544	4.74915	-0.603649	0.964055	-1.68412	-3.96505	0.901554	-0.109215	1.33336	0.933434	4.50732	-0.109215	-2.51666	0.230689	-0.629457	
-1.00713	-1.12397	-0.207475	0.899782	1.1798	-0.375101	-0.774474	-1.21199	-0.535215	0.633642	1.21991	1.00882	3.30199	5.08498	-0.631984	1.00882	-1.76275	-4.26362	0.943432	-0.11439	1.39543	0.97724	4.7193	-0.11439	-2.63474	0.241545	-0.659135	
-1.05201	-1.17457	-0.217268	0.939799	1.23284	-0.392396	-0.808823	-1.26641	-0.559664	0.661633	1.27461	1.05358	3.44981	5.40496	-0.660381	1.05358	-1.84145	-4.54615	0.985301	-0.119587	1.45753	1.02114	4.93185	-0.119587	-2.75307	0.252432	-0.68891	
-1.09693	-1.22529	-0.227158	0.979829	1.28599	-0.409796	-0.843168	-1.32092	-0.584227	0.689603	1.3294	1.09834	3.59784	5.71201	-0.688836	1.09834	-1.92023	-4.81558	1.02717	-0.124805	1.51966	1.06513	5.14491	-0.124805	-2.87164	0.263347	-0.718772	
-1.14187	-1.27611	-0.237127	1.01988	1.33924	-0.427286	-0.877517	-1.37553	-0.608887	0.717562	1.38427	1.1431	3.74607	6.00852	-0.717343	1.1431	-1.99909	-5.07433	1.06905	-0.130039	1.58182	1.1092	5.35842	-0.130039	-2.99041	0.274286	-0.748708	
-1.18686	-1.32703	-0.247164	1.05995	1.39258	-0.444852	-0.911875	-1.43022	-0.633631	0.745516	1.43922	1.18787	3.89449	6.29643	-0.745897	1.18787	-2.07803	-5.32436	1.11094	-0.135289	1.64402	1.15335	5.57235	-0.135289	-3.10937	0.285248	-0.778712	
-1.23184	-1.37806	-0.257326	1.1	1.44602	-0.46255	-0.946192	-1.485	-0.65851	0.773411	1.49424	1.2326	4.04305	6.57736	-0.774503	1.2326	-2.15699	-5.56722	1.15279	-0.14056	1.7062	1.19757	5.78677	-0.14056	-3.22854	0.296236	-0.808806	
-1.27683	-1.4292	-0.267592	1.14004	1.49955	-0.480358	-0.980483	-1.53986	-0.683505	0.801264	1.54934	1.27729	4.19175	6.85261	-0.803156	1.27729	-2.23599	-5.80424	1.19461	-0.145852	1.76837	1.24186	6.00164	-0.145852	-3.34789	0.307249	-0.838979	
-1.32183	-1.48043	-0.277945	1.18008	1.55317	-0.498261	-1.01476	-1.5948	-0.708598	0.829087	1.6045	1.32196	4.3406	7.12326	-0.831852	1.32196	-2.31504	-6.03651	1.23642	-0.15116	1.83054	1.28622	6.21691	-0.15116	-3.46742	0.318284	-0.869222	
-1.36685	-1.53174	-0.288371	1.22012	1.60687	-0.516243	-1.04902	-1.64981	-0.733776	0.85689	1.65972	1.36662	4.48958	7.39018	-0.860589	1.36662	-2.39413	-6.26493	1.27822	-0.156483	1.89272	1.33064	6.43254	-0.156483	-3.58711	0.329339	-0.899528	
-1.41185	-1.58315	-0.298928	1.26013	1.66066	-0.53436	-1.08323	-1.7049	-0.759091	0.884619	1.715	1.41122	4.63867	7.65408	-0.889372	1.41122	-2.47322	-6.49017	1.31996	-0.161826	1.95485	1.37512	6.64863	-0.161826	-3.70697	0.340426	-0.92993	
-1.45684	-1.63466	-0.309593	1.30011	1.71453	-0.55259	-1.11741	-1.76005	-0.784521	0.912294	1.77033	1.45577	4.78788	7.91556	-0.918198	1.45577	-2.55232	-6.71284	1.36166	-0.167187	2.01696	1.41966	6.86513	-0.167187	-3.827	0.351541	-0.960416	
-1.50184	-1.68625	-0.320348	1.34008	1.76848	-0.570916	-1.15155	-1.81527	-0.810049	0.939928	1.82572	1.50029	4.93719	8.17509	-0.947063	1.50029	-2.63145	-6.93344	1.40333	-0.172564	2.07904	1.46426	7.082	-0.172564	-3.94718	0.362682	-0.990975	
-1.54684	-1.73792	-0.33118	1.38004	1.82249	-0.589323	-1.18567	-1.87055	-0.835663	0.967533	1.88117	1.54478	5.08662	8.43306	-0.975966	1.54478	-2.7106	-7.15238	1.44499	-0.177955	2.14113	1.50892	7.29921	-0.177955	-4.0675	0.373845	-1.0216	
-1.59181	-1.78969	-0.342146	1.41996	1.87659	-0.607867	-1.21973	-1.9259	-0.861414	0.995057	1.93666	1.5892	5.23614	8.6898	-1.00491	1.5892	-2.78973	-7.36994	1.48657	-0.183365	2.20315	1.55363	7.51684	-0.183365	-4.18798	0.385044	-1.05233	
-1.63677	-1.84154	-0.353223	1.45985	1.93077	-0.626526	-1.25375	-1.98132	-0.887281	1.02252	1.9922	1.63356	5.38574	8.94556	-1.0339	1.63356	-2.86885	-7.58639	1.52811	-0.188792	2.26513	1.59839	7.73486	-0.188792	-4.30861	0.396274	-1.08314	
-1.68172	-1.89347	-0.364393	1.49971	1.98502	-0.645281	-1.28773	-2.03679	-0.913247	1.04993	2.04779	1.67788	5.53544	9.20055	-1.06293	1.67788	-2.94798	-7.80197	1.56961	-0.194233	2.32708	1.6432	7.95324	-0.194233	-4.42939	0.407532	-1.11403	
-1.72662	-1.94551	-0.375711	1.53951	2.03935	-0.664187	-1.32163	-2.09233	-0.939362	1.07725	2.10342	1.72211	5.6852	9.45496	-1.092	1.72211	-3.02707	-8.01681	1.61103	-0.199695	2.38895	1.68806	8.17205	-0.199695	-4.55031	0.418831	-1.14503	
-1.7715	-1.99763	-0.387153	1.57927	2.09375	-0.683219	-1.35546	-2.14792	-0.965602	1.10449	2.1591	1.76626	5.83504	9.70892	-1.12111	1.76626	-3.10614	-8.23107	1.65238	-0.205175	2.45076	1.73298	8.39125	-0.205175	-4.67139	0.430164	-1.17613	
-1.81637	-2.04983	-0.398697	1.61899	2.14822	-0.702356	-1.38926	-2.20358	-0.99195	1.13168	2.21483	1.81035	5.98496	9.96256	-1.15025	1.81035	-3.18519	-8.44489	1.69368	-0.210669	2.51253	1.77794	8.61081	-0.210669	-4.7926	0.441528	-1.20731	
